airport_id,city,state,airport_name,country
GSP,"Greer, SC",SC,GSP Airport,USA
ORD,"Chicago, IL",IL,ORD Airport,USA
ACY,"Atlantic City, NJ",NJ,ACY Airport,USA
BCT,"Boca Raton, FL",FL,BCT Airport,USA
BGR,"Bangor, ME",ME,BGR Airport,USA
BOS,"Boston, MA",MA,BOS Airport,USA
BUF,"Buffalo, NY",NY,BUF Airport,USA
CHS,"Charleston, SC",SC,CHS Airport,USA
CLT,"Charlotte, NC",NC,CLT Airport,USA
FOK,"Westhampton, NY",NY,FOK Airport,USA
FXE,"Fort Lauderdale, FL",FL,FXE Airport,USA
HPN,"White Plains, NY",NY,HPN Airport,USA
ISP,"Islip, NY",NY,ISP Airport,USA
JFK,"New York, NY",NY,JFK Airport,USA
LAX,"Los Angeles, CA",CA,LAX Airport,USA
OPF,"Miami, FL",FL,OPF Airport,USA
PIT,"Pittsburgh, PA",PA,PIT Airport,USA
SLC,"Salt Lake City, UT",UT,SLC Airport,USA
TEB,"Teterboro, NJ",NJ,TEB Airport,USA
TYS,"Knoxville, TN",TN,TYS Airport,USA
VNY,"Van Nuys, CA",CA,VNY Airport,USA
YAM,"Sault Ste. Marie, Canada",ON,YAM Airport,USA
YBL,"Campbell River, Canada",BC,YBL Airport,USA
YHZ,"Halifax, Canada",NS,YHZ Airport,USA
YKF,"Kitchener, Canada",ON,YKF Airport,USA
YOW,"Ottawa, Canada",ON,YOW Airport,USA
YUL,"Montreal, Canada",QC,YUL Airport,USA
YVR,"Vancouver, Canada",BC,YVR Airport,USA
YYC,"Calgary, Canada",AB,YYC Airport,USA
YYZ,"Toronto, Canada",ON,YYZ Airport,USA
BDL,"Hartford, CT",CT,BDL Airport,USA
BED,"Bedford, MA",MA,BED Airport,USA
CVG,"Cincinnati, OH",KY,CVG Airport,USA
DEN,"Denver, CO",CO,DEN Airport,USA
LAS,"Las Vegas, NV",NV,LAS Airport,USA
LGA,"New York, NY",NY,LGA Airport,USA
MEM,"Memphis, TN",TN,MEM Airport,USA
PBI,"West Palm Beach/Palm Beach, FL",FL,PBI Airport,USA
PHL,"Philadelphia, PA",PA,PHL Airport,USA
PWK,"Chicago, IL",IL,PWK Airport,USA
ROA,"Roanoke, VA",VA,ROA Airport,USA
SGR,"Sugar Land, TX",TX,SGR Airport,USA
SWF,"Newburgh/Poughkeepsie, NY",NY,SWF Airport,USA
APF,"Naples, FL",FL,APF Airport,USA
BQK,"Brunswick, GA",GA,BQK Airport,USA
