carrier_id,carrier_name,carrier_type,region
0Q,Flying Service N.V.,Unknown,USA
13Q,Chartright Air Inc.,Unknown,USA
15Q,Air Alsie A/S,Unknown,USA
1HQ,International Jet Management GmbH,Unknown,USA
24Q,Jet Story,Unknown,USA
25Q,Mjet GmbH,Unknown,USA
36Q,Air Hamburg Luftverkehrsgesellschaft mbH,Unknown,USA
3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",Unknown,USA
8V,Wright Air Service,Unknown,USA
9E,Endeavor Air Inc.,Unknown,USA
9K,"Hyannis Air Service, Inc. dba Cape Air",Unknown,USA
AZ,Italia Transporto Aereo S.P.A DBA ITA S.P.A,Unknown,USA
B6,JetBlue Airways,Unknown,USA
C5,CommuteAir LLC dba CommuteAir,Unknown,USA
CA,Air China,Unknown,USA
DL,Delta Air Lines Inc.,Unknown,USA
G3,VRG Linhas Aereas S A,Unknown,USA
HAQ,Hamilton Jetport Limited,Unknown,USA
HYP,Hyperion Aviation Ltd. dba Hyperion,Unknown,USA
JEQ,Jetflite Oy,Unknown,USA
JWQ,Global Jet Aruba V.B.A. d/b/a Global Jet Aruba,Unknown,USA
KFQ,Skyfirst Limited,Unknown,USA
KO,Alaska Central Express,Unknown,USA
KZ,Nippon Cargo Airlines,Unknown,USA
M6,Amerijet International,Unknown,USA
MX,Breeze Aviation Group DBA  Breeze,Unknown,USA
NEW,New England Airlines Inc.,Unknown,USA
NK,Spirit Air Lines,Unknown,USA
OZ,Asiana Airlines Inc.,Unknown,USA
SVW,"Global Jet Luxembourg, Sa",Unknown,USA
SWQ,Swiss Private Jet S.A.,Unknown,USA
UA,United Air Lines Inc.,Unknown,USA
VI,Vieques Air Link Inc.,Unknown,USA
WGT,Volkswagen AirSevice GmbH dba Volkswagon,Unknown,USA
WN,Southwest Airlines Co.,Unknown,USA
X9,Omni Air International LLC,Unknown,USA
YX,Republic Airline,Unknown,USA
E9,Evelop Airlines SL,Unknown,USA
FK,Flightcraft Air Charter Ltd dba KF Aeroflyer,Unknown,USA
DE,Condor Flugdienst,Unknown,USA
KAH,Kenmore Air Harbor,Unknown,USA
1YQ,"Air Charter, Inc d/b/a Air Flamenco",Unknown,USA
10Q,Swiss Air Ambulance,Unknown,USA
7S,Ryan Air f/k/a Arctic Transportation,Unknown,USA
W2,FlexFlight AsP,Unknown,USA
GEQ,"Gestair, S.A.",Unknown,USA
AQB,Scanwings Oy,Unknown,USA
